epoch,loss_total,loss_rgb,loss_intensity,loss_hv,loss_chroma,loss_hue,loss_grad,loss_curve_smooth,loss_color_delta,loss_ssim,grad_norm,curve_abs_mean,delta_hv_abs_mean,train_high_clip_fraction,hvi_k,color_mode,lr,epoch_seconds,val_psnr,val_ssim,val_intensity_mae,val_chroma_mae,val_high_clip_fraction,val_seconds,best_psnr,best_ssim,best_chroma_mae
1,0.3148130405016968,0.16040102841784332,0.1698591759692629,0.10569994793327882,0.10939258344150121,0.05653027905443909,0.1256526007059088,0.006608151592789743,0.0,0.6306762990814656,1.4921305218238536,0.3181816476743368,0.0,0.001395119805850252,0.20000000298023224,lock,1.0001386770212176e-05,1326.74560213089,14.443059215545654,0.34386378213763236,0.20526358962059021,0.11705591961741448,4.5895046725945575e-05,27.281980514526367,14.443059215545654,0.34386378213763236,0.11705591961741448
2,0.26833902242163515,0.1333721414189814,0.13877108347715972,0.10569296791816846,0.10939359625189517,0.05652024590381491,0.11836702773930494,0.06758984934741115,0.0,0.5831118969807527,2.8631139386710305,0.41762764664500385,0.0,0.0013944343863209023,0.20000000298023224,lock,2.0001386770212178e-05,1323.198293685913,16.967506828308107,0.3988035261631012,0.14065378919243812,0.11705580972135067,5.143907385502189e-05,23.343026161193848,16.967506828308107,0.3988035261631012,0.11705580972135067
3,0.24417533608229147,0.12248383124874661,0.12644084404382688,0.10564412998797294,0.10937504647029718,0.05649641659066872,0.08430026360646545,0.1414852706898087,0.0,0.5142636329634083,3.1074886117691043,0.4483676756111069,0.0,0.001437646107992409,0.20000000298023224,lock,3.0001386770212174e-05,1323.8171820640564,17.435850620269775,0.38493299543857573,0.12272278100252151,0.11705567978322506,6.037394328188839e-05,22.591734647750854,17.435850620269775,0.3988035261631012,0.11705567978322506
4,0.23620463442974357,0.11868197184648598,0.12200983843518566,0.10568372513920651,0.10935820693274408,0.05655132867824666,0.0764490543004379,0.1528329386100361,0.0,0.496386307607724,2.684150577261021,0.45501973895239045,0.0,0.0014251725623016596,0.20000000298023224,lock,4.0001386770212176e-05,1321.3681304454803,17.41366174697876,0.44628247916698455,0.13423276476562024,0.11705572366714477,6.027221682643358e-05,22.443105459213257,17.435850620269775,0.44628247916698455,0.11705567978322506
5,0.2310876351626335,0.11602063345458219,0.11882378300335483,0.10566155334324731,0.10942814026904608,0.05643926680603622,0.07425031693521311,0.15456011369018494,0.0,0.4885139128418244,2.281462750476535,0.4572596044369138,0.0,0.0014157894960841332,0.20000000298023224,lock,5e-05,1323.2505996227264,17.530338039398192,0.4075202035903931,0.12199059538543225,0.11705568134784698,8.956909332709984e-05,22.339569568634033,17.530338039398192,0.44628247916698455,0.11705567978322506
6,0.22677339088869664,0.11365816891689337,0.11602367195085718,0.10562307875943885,0.10934739385842203,0.056396396526135116,0.07335256734474689,0.15437344387183985,0.0,0.4834828758401756,2.001849427151789,0.45710700034946433,0.0,0.0014628370746244135,0.20000000298023224,lock,4.999950657178621e-05,1325.859245300293,17.825158214569093,0.4097098311781883,0.11660830944776535,0.11705566711723804,0.00021047804043519135,22.31149458885193,17.825158214569093,0.44628247916698455,0.11705566711723804
7,0.2231787797443299,0.11156796811647314,0.11368144465208202,0.1056070541724048,0.1093345194106508,0.05635527391960495,0.07294701446416539,0.1538218691554517,0.0,0.48046299837082274,1.933918568020372,0.4579909405006051,0.0,0.0014832822889455388,0.20000000298023224,lock,4.999802630702006e-05,1326.0949175357819,17.720333957672118,0.3909877386689186,0.11604783415794373,0.11705565422773362,0.00020446777638994718,22.711339473724365,17.825158214569093,0.44628247916698455,0.11705565422773362
8,0.22040268353732478,0.10994878237298053,0.1117743616436783,0.10560764941552066,0.10930180351242512,0.05651479152436396,0.07287344964038497,0.15328384703793682,0.0,0.47857369634814506,1.8481033441015626,0.46006680930178234,0.0,0.0014737756090390573,0.20000000298023224,lock,4.999555926532638e-05,1323.5653717517853,17.869513511657715,0.4315518316626549,0.11884202569723129,0.11705569252371788,0.00017059326627872907,22.195496559143066,17.869513511657715,0.44628247916698455,0.11705565422773362
9,0.21789387280113437,0.10849796856270884,0.11010625053803132,0.10569574380136697,0.10932293458440204,0.056510355127821654,0.07267551727550584,0.15310813448398441,0.0,0.4764683912422303,1.8022691888512297,0.4601434987075053,0.0,0.0016695450743450333,0.20000000298023224,lock,4.9992105546077275e-05,1325.2727830410004,17.21604166030884,0.35242909044027326,0.12402279011905193,0.11705563560128213,0.0002556016740834366,22.09387516975403,17.869513511657715,0.44628247916698455,0.11705563560128213
10,0.21587893157172444,0.10734575264845025,0.10872311312811184,0.10560468839867124,0.10929557727372129,0.05643307480154136,0.07259811648605369,0.15308060538271168,0.0,0.4748010319622623,1.78355491146468,0.46095717430213934,0.0,0.0017380602729076173,0.20000000298023224,lock,4.998766528838804e-05,1317.5587675571442,17.296213855743407,0.35870012879371643,0.12291006132960319,0.1170556454360485,0.00047504849542065133,21.81560707092285,17.869513511657715,0.44628247916698455,0.11705563560128213
